symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,Dual_Overhead,L_Engine,Overhead,Rotary
3,115.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,53.55699481865292,2548.0,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,13495.0,1,0,0,0
3,115.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,53.55699481865292,2548.0,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21.0,27.0,16500.0,1,0,0,0
1,115.0,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823.0,six,152,mpfi,3.3304477611940313,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0,0,0,1,0
2,164.0,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337.0,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0,0,0,1,0
2,164.0,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824.0,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18.0,22.0,17450.0,0,0,1,0
2,115.0,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507.0,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0,0,0,1,0
1,158.0,audi,gas,std,four,sedan,fwd,front,105.8,192.7,65.54894736842103,55.7,2844.0,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0,0,0,1,0
1,115.0,audi,gas,std,four,wagon,fwd,front,105.8,192.7,65.54894736842103,55.7,2954.0,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0,0,0,1,0
1,158.0,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,65.54894736842103,55.9,3086.0,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,23875.0,0,0,1,0
0,115.0,audi,gas,turbo,two,hatchback,4wd,front,99.5,178.2,67.9,52.0,3053.0,five,131,mpfi,3.13,3.4,7.0,160.0,5500.0,16.0,22.0,10295.0,0,0,1,0
2,116.02061855670104,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16430.0,0,0,1,0
0,116.02061855670104,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,16925.0,0,0,1,0
0,116.02061855670104,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710.0,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,20970.0,0,0,1,0
0,116.02061855670104,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765.0,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21.0,28.0,21105.0,0,0,1,0
1,115.0,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055.0,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20.0,25.0,24565.0,0,0,1,0
0,115.0,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230.0,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,11477.874345549739,0,0,1,0
0,115.0,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380.0,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,11477.874345549739,0,0,1,0
0,115.0,bmw,gas,std,four,sedan,rwd,front,110.0,197.0,65.54894736842103,56.3,3505.0,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15.0,20.0,11477.874345549739,0,0,1,0
2,121.0,chevrolet,gas,std,two,hatchback,fwd,front,88.4,173.1380208333333,65.54894736842103,53.2,2501.3384615384616,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,24.896039603960396,30.317948717948717,5151.0,0,1,0,0
1,98.0,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874.0,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6295.0,0,0,1,0
0,81.0,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909.0,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,6575.0,0,0,1,0
1,118.0,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,37.0,41.0,5572.0,0,0,1,0
1,118.0,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6377.0,0,0,1,0
1,118.0,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7957.0,0,0,1,0
1,148.0,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967.0,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6229.0,0,0,1,0
1,148.0,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6692.0,0,0,1,0
1,148.0,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7609.0,0,0,1,0
1,148.0,dodge,gas,turbo,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191.0,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,8558.0,0,0,1,0
-1,110.0,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,53.55699481865292,2535.0,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0,0,0,1,0
3,145.0,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811.0,four,156,mfi,3.6,3.2584183673469322,7.0,145.0,5000.0,19.0,24.0,12964.0,0,0,1,0
2,137.0,honda,gas,std,two,hatchback,fwd,front,98.05699481865283,173.1380208333333,63.9,50.8,1713.0,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,24.896039603960396,30.317948717948717,6479.0,0,0,1,0
2,137.0,honda,gas,std,two,hatchback,fwd,front,98.05699481865283,173.1380208333333,63.9,50.8,1819.0,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,31.0,38.0,6855.0,0,0,1,0
1,101.0,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837.0,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,38.0,42.0,5399.0,0,0,1,0
1,101.0,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940.0,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,6529.0,0,0,1,0
1,101.0,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956.0,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7129.0,0,0,1,0
0,110.0,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010.0,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0,0,0,1,0
0,78.0,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024.0,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,30.0,34.0,7295.0,0,0,1,0
0,106.0,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236.0,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,7895.0,0,0,1,0
0,106.0,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289.0,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,9095.0,0,0,1,0
0,85.0,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304.0,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,8845.0,0,0,1,0
0,85.0,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372.0,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27.0,33.0,10295.0,0,0,1,0
0,85.0,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465.0,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,24.0,28.0,12945.0,0,0,1,0
1,107.0,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293.0,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,25.0,31.0,10345.0,0,0,1,0
0,115.0,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337.0,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,6785.0,0,0,1,0
1,115.0,isuzu,gas,std,two,sedan,fwd,front,94.5,155.9,63.6,52.0,1874.0,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,10295.0,0,0,1,0
0,115.0,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52.0,1909.0,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,10295.0,0,0,1,0
2,115.0,isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734.0,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,24.0,29.0,11048.0,0,0,1,0
0,145.0,jaguar,gas,std,four,sedan,rwd,front,98.05699481865283,173.1380208333333,69.6,52.8,2501.3384615384616,six,258,mpfi,3.63,3.2584183673469322,8.1,176.0,4750.0,15.0,19.0,11477.874345549739,1,0,0,0
0,115.0,jaguar,gas,std,four,sedan,rwd,front,98.05699481865283,173.1380208333333,69.6,52.8,2501.3384615384616,six,258,mpfi,3.63,3.2584183673469322,8.1,176.0,4750.0,15.0,19.0,11477.874345549739,1,0,0,0
0,115.0,jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,65.54894736842103,53.55699481865292,2501.3384615384616,twelve,326,mpfi,3.54,2.76,11.5,99.56852791878173,5000.0,13.0,30.317948717948717,11477.874345549739,0,0,1,0
1,104.0,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890.0,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,30.0,31.0,5195.0,0,0,1,0
1,104.0,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900.0,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6095.0,0,0,1,0
1,104.0,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905.0,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6795.0,0,0,1,0
1,113.0,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945.0,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6695.0,0,0,1,0
1,113.0,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950.0,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,31.0,38.0,7395.0,0,0,1,0
3,150.0,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,two,70,4bbl,3.31,3.29,9.4,101.0,6000.0,17.0,23.0,10945.0,0,0,0,1
3,150.0,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,two,70,4bbl,3.31,3.29,9.4,101.0,6000.0,17.0,23.0,11845.0,0,0,0,1
3,150.0,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385.0,two,70,4bbl,3.31,3.29,9.4,101.0,6000.0,17.0,23.0,13645.0,0,0,0,1
3,150.0,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500.0,two,80,mpfi,3.31,3.29,9.4,135.0,6000.0,16.0,23.0,15645.0,0,0,0,1
1,129.0,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8845.0,0,0,1,0
0,115.0,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8495.0,0,0,1,0
1,129.0,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385.0,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10595.0,0,0,1,0
0,115.0,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410.0,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10245.0,0,0,1,0
0,115.0,mazda,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443.0,four,122,idi,3.39,3.39,8.860108108108106,64.0,4650.0,36.0,42.0,10795.0,0,0,1,0
0,115.0,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425.0,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,11245.0,0,0,1,0
0,118.0,mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670.0,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,19.0,27.0,18280.0,0,0,1,0
0,115.0,mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700.0,four,134,idi,3.43,3.64,8.860108108108106,72.0,4200.0,31.0,39.0,18344.0,0,0,1,0
-1,93.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,65.54894736842103,56.5,3515.0,five,183,idi,3.58,3.64,8.860108108108106,123.0,4350.0,22.0,25.0,25552.0,0,0,1,0
-1,93.0,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,65.54894736842103,53.55699481865292,2501.3384615384616,five,183,idi,3.58,3.64,8.860108108108106,123.0,4350.0,22.0,25.0,28248.0,0,0,1,0
0,93.0,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,65.54894736842103,54.9,3495.0,five,183,idi,3.58,3.64,8.860108108108106,123.0,4350.0,22.0,25.0,28176.0,0,0,1,0
-1,93.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,98.05699481865283,173.1380208333333,65.54894736842103,56.3,2501.3384615384616,five,183,idi,3.58,3.64,8.860108108108106,123.0,4350.0,22.0,25.0,11477.874345549739,0,0,1,0
-1,115.0,mercedes-benz,gas,std,four,sedan,rwd,front,98.05699481865283,173.1380208333333,65.54894736842103,56.5,2501.3384615384616,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,11477.874345549739,0,0,1,0
3,142.0,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,65.54894736842103,50.8,2501.3384615384616,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,11477.874345549739,0,0,1,0
0,115.0,mercedes-benz,gas,std,four,sedan,rwd,front,98.05699481865283,173.1380208333333,65.54894736842103,56.7,2501.3384615384616,eight,308,mpfi,3.8,3.35,8.0,99.56852791878173,4500.0,14.0,30.317948717948717,11477.874345549739,0,0,1,0
1,115.0,mercedes-benz,gas,std,two,hardtop,rwd,front,98.05699481865283,173.1380208333333,65.54894736842103,55.4,2501.3384615384616,eight,304,mpfi,3.8,3.35,8.0,99.56852791878173,4500.0,14.0,30.317948717948717,11477.874345549739,0,0,1,0
1,115.0,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910.0,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,19.0,24.0,16503.0,0,0,1,0
2,161.0,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918.0,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,37.0,41.0,5389.0,0,0,1,0
2,161.0,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944.0,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6189.0,0,0,1,0
2,161.0,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004.0,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6669.0,0,0,1,0
1,161.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145.0,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,7689.0,0,0,1,0
3,153.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370.0,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9959.0,0,0,1,0
3,153.0,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328.0,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8499.0,0,0,1,0
3,115.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833.0,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,19.0,24.0,12629.0,0,0,1,0
3,115.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921.0,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,14869.0,0,0,1,0
3,115.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926.0,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,14489.0,0,0,1,0
1,125.0,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365.0,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,6989.0,0,0,1,0
1,125.0,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405.0,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,8189.0,0,0,1,0
1,125.0,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0,0,0,1,0
-1,137.0,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403.0,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23.0,30.0,9279.0,0,0,1,0
1,128.0,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889.0,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,5499.0,0,0,1,0
1,128.0,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017.0,four,103,idi,2.99,3.47,8.860108108108106,55.0,4800.0,24.896039603960396,30.317948717948717,7099.0,0,0,1,0
1,128.0,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918.0,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6649.0,0,0,1,0
1,122.0,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938.0,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,6849.0,0,0,1,0
1,103.0,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024.0,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7349.0,0,0,1,0
1,128.0,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951.0,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7299.0,0,0,1,0
1,128.0,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028.0,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7799.0,0,0,1,0
1,122.0,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971.0,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7499.0,0,0,1,0
1,103.0,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037.0,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,7999.0,0,0,1,0
2,168.0,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008.0,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,8249.0,0,0,1,0
0,106.0,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324.0,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27.0,34.0,8949.0,0,0,1,0
